year,population_type_std,time_series_sum,persons_of_concern_long_sum,absolute_difference
1973,Returned IDPs,,0.0,0.0
1973,Returned refugees,120840.0,120840.0,0.0
1973,Stateless persons,,0.0,0.0
1974,Asylum-seekers,,0.0,0.0
1974,IDPs,,0.0,0.0
1974,Others of concern,,0.0,0.0
1974,Refugees,2360973.0,2360973.0,0.0
1974,Returned IDPs,,0.0,0.0
1974,Returned refugees,123140.0,123140.0,0.0
1974,Stateless persons,,0.0,0.0
1975,Asylum-seekers,,0.0,0.0
1975,IDPs,,0.0,0.0
1975,Others of concern,,0.0,0.0
1975,Refugees,2775314.0,2775314.0,0.0
1975,Returned IDPs,,0.0,0.0
1975,Returned refugees,88960.0,88960.0,0.0
1975,Stateless persons,,0.0,0.0
1976,Asylum-seekers,,0.0,0.0
1976,IDPs,,0.0,0.0
1976,Others of concern,,0.0,0.0
1976,Refugees,3667331.0,3667331.0,0.0
1976,Returned IDPs,,0.0,0.0
1976,Returned refugees,13190.0,13190.0,0.0
1976,Stateless persons,,0.0,0.0
1977,Asylum-seekers,,0.0,0.0
1977,IDPs,,0.0,0.0
1977,Others of concern,,0.0,0.0
1977,Refugees,4395459.0,4395459.0,0.0
1977,Returned IDPs,,0.0,0.0
1977,Returned refugees,1620.0,1620.0,0.0
1977,Stateless persons,,0.0,0.0
1978,Asylum-seekers,,0.0,0.0
1978,IDPs,,0.0,0.0
1978,Others of concern,,0.0,0.0
1978,Refugees,4913804.0,4913804.0,0.0
1978,Returned IDPs,,0.0,0.0
1978,Returned refugees,262090.0,262090.0,0.0
1978,Stateless persons,,0.0,0.0
1979,Asylum-seekers,,0.0,0.0
1979,IDPs,,0.0,0.0
1979,Others of concern,,0.0,0.0
1979,Refugees,6110422.0,6110422.0,0.0
1979,Returned IDPs,,0.0,0.0
1979,Returned refugees,571070.0,571070.0,0.0
1979,Stateless persons,,0.0,0.0
1980,Asylum-seekers,,0.0,0.0
1980,IDPs,,0.0,0.0
1980,Others of concern,,0.0,0.0
1980,Refugees,8287287.0,8287287.0,0.0
1980,Returned IDPs,,0.0,0.0
1980,Returned refugees,705210.0,705210.0,0.0
1980,Stateless persons,,0.0,0.0
1981,Asylum-seekers,,0.0,0.0
1981,IDPs,,0.0,0.0
1981,Others of concern,,0.0,0.0
1981,Refugees,9611176.0,9611176.0,0.0
1981,Returned IDPs,,0.0,0.0
1981,Returned refugees,234892.0,234892.0,0.0
1981,Stateless persons,,0.0,0.0
1982,Asylum-seekers,,0.0,0.0
1982,IDPs,,0.0,0.0
1982,Others of concern,,0.0,0.0
1982,Refugees,10218319.0,10218319.0,0.0
1982,Returned IDPs,,0.0,0.0
1982,Returned refugees,315810.0,315810.0,0.0
1982,Stateless persons,,0.0,0.0
1983,Asylum-seekers,,0.0,0.0
1983,IDPs,,0.0,0.0
1983,Others of concern,,0.0,0.0
1983,Refugees,10519723.0,10519723.0,0.0
1983,Returned IDPs,,0.0,0.0
1983,Returned refugees,21505.0,21505.0,0.0
1983,Stateless persons,,0.0,0.0
1984,Asylum-seekers,,0.0,0.0
1984,IDPs,,0.0,0.0
1984,Others of concern,,0.0,0.0
1984,Refugees,10557306.0,10557306.0,0.0
1984,Returned IDPs,,0.0,0.0
1984,Returned refugees,358004.0,358004.0,0.0
1984,Stateless persons,,0.0,0.0
1985,Asylum-seekers,,0.0,0.0
1985,IDPs,,0.0,0.0
1985,Others of concern,,0.0,0.0
1985,Refugees,11699562.0,11699562.0,0.0
1985,Returned IDPs,,0.0,0.0
1985,Returned refugees,317556.0,317556.0,0.0
1985,Stateless persons,,0.0,0.0
1986,Asylum-seekers,,0.0,0.0
1986,IDPs,,0.0,0.0
1986,Others of concern,,0.0,0.0
1986,Refugees,12028574.0,12028574.0,0.0
1986,Returned IDPs,,0.0,0.0
1986,Returned refugees,323620.0,323620.0,0.0
1986,Stateless persons,,0.0,0.0
1987,Asylum-seekers,,0.0,0.0
1987,IDPs,,0.0,0.0
1987,Others of concern,,0.0,0.0
1987,Refugees,12668947.0,12668947.0,0.0
1987,Returned IDPs,,0.0,0.0
1987,Returned refugees,232270.0,232270.0,0.0
1987,Stateless persons,,0.0,0.0
1988,Asylum-seekers,,0.0,0.0
1988,IDPs,,0.0,0.0
1988,Others of concern,,0.0,0.0
1988,Refugees,14341431.0,14341431.0,0.0
1988,Returned IDPs,,0.0,0.0
1988,Returned refugees,222502.0,222502.0,0.0
1988,Stateless persons,,0.0,0.0
1989,Asylum-seekers,,0.0,0.0
1989,IDPs,,0.0,0.0
1989,Others of concern,,0.0,0.0
1989,Refugees,14726576.0,14726576.0,0.0
1989,Returned IDPs,,0.0,0.0
1989,Returned refugees,137159.0,137159.0,0.0
1989,Stateless persons,,0.0,0.0
1990,Asylum-seekers,,0.0,0.0
1990,IDPs,,0.0,0.0
1990,Others of concern,,0.0,0.0
1990,Refugees,17390695.0,17390695.0,0.0
1990,Returned IDPs,,0.0,0.0
1990,Returned refugees,138232.0,138232.0,0.0
1990,Stateless persons,,0.0,0.0
1991,Asylum-seekers,,0.0,0.0
1991,IDPs,,0.0,0.0
1991,Others of concern,,0.0,0.0
1991,Refugees,16848803.0,16848803.0,0.0
1991,Returned IDPs,,0.0,0.0
1991,Returned refugees,2183838.0,2183838.0,0.0
1991,Stateless persons,,0.0,0.0
1992,Asylum-seekers,,0.0,0.0
1992,IDPs,,0.0,0.0
1992,Others of concern,,0.0,0.0
1992,Refugees,17819063.0,17819063.0,0.0
1992,Returned IDPs,,0.0,0.0
1992,Returned refugees,2083989.0,2083989.0,0.0
1992,Stateless persons,,0.0,0.0
1993,Asylum-seekers,,0.0,0.0
1993,IDPs,4198400.0,4198400.0,0.0
1993,Others of concern,,0.0,0.0
1993,Refugees,16325525.0,16325525.0,0.0
1993,Returned IDPs,,0.0,0.0
1993,Returned refugees,651131.0,651131.0,0.0
1993,Stateless persons,,0.0,0.0
1994,Asylum-seekers,,0.0,0.0
1994,IDPs,5322990.0,5322990.0,0.0
1994,Others of concern,,0.0,0.0
1994,Refugees,15753691.0,15753691.0,0.0
1994,Returned IDPs,,0.0,0.0
1994,Returned refugees,3006368.0,3006368.0,0.0
