host_country_std,host_iso3,value_observed
Turkey,TUR,2824167.0
Lebanon,LBN,1007749.0
Jordan,JOR,648836.0
Germany,DEU,475649.0
Iraq,IRQ,230935.0
Egypt,EGY,116013.0
Sweden,SWE,103999.0
Austria,AUT,40770.0
Netherlands,NLD,29381.0
Greece,GRC,28417.0
Libya,LBY,19508.0
Denmark,DNK,18624.0
Bulgaria,BGR,16988.0
Switzerland,CHE,15017.0
Armenia,ARM,14646.0
