year,host_country_std,host_iso3,value_observed,source_rows
2016,Turkey,TUR,3115154.0,83
2016,Pakistan,PAK,1357399.0,17
2016,Germany,DEU,1207420.0,245
2016,Uganda,UGA,1162672.0,27
2016,Lebanon,LBN,1031217.0,59
2016,Iran,IRN,979526.0,7
2016,Ethiopia,ETH,794094.0,28
2016,Jordan,JOR,720443.0,38
2016,United States,USA,705970.0,309
2016,Kenya,KEN,494822.0,35
2016,Tanzania,TZA,458477.0,7
2016,Democratic Republic of the Congo,COD,453256.0,25
2016,Sudan,SDN,437464.0,28
2016,Chad,TCD,429851.0,20
2016,Cameroon,CMR,378642.0,29
2016,China,CHN,317885.0,31
2016,France,FRA,287657.0,198
2016,Sweden,SWE,287165.0,194
2016,Yemen,YEM,278856.0,21
2016,Iraq,IRQ,276429.0,30
2016,Bangladesh,BGD,276198.0,1
2016,South Sudan,SSD,264333.0,10
2016,Egypt,EGY,263320.0,59
2016,Italy,ITA,245691.0,177
2016,Russia,RUS,231916.0,39
2016,Malaysia,MYS,228475.0,50
2016,India,IND,207009.0,32
2016,Niger,NER,180818.0,16
2016,Afghanistan,AFG,174116.0,6
2016,Venezuela,VEN,172917.0,13
2016,South Africa,ZAF,166828.0,91
2016,Austria,AUT,163773.0,149
2016,Rwanda,RWA,157950.0,12
2016,United Kingdom,GBR,142241.0,221
2016,Canada,CAN,120873.0,293
2016,Thailand,THA,111661.0,47
2016,Switzerland,CHE,111000.0,156
2016,Netherlands,NLD,103893.0,158
2016,Ecuador,ECU,101161.0,1
2016,Algeria,DZA,99914.0,24
2016,Mauritania,MRT,74676.0,30
2016,Greece,GRC,73143.0,118
2016,Australia,AUS,68480.0,180
2016,Brazil,BRA,67907.0,140
2016,Norway,NOR,63115.0,112
2016,Burundi,BDI,61714.0,11
2016,Bosnia and Herzegovina,BIH,57734.0,9
2016,Zambia,ZMB,57186.0,24
2016,Republic of the Congo,COG,56241.0,29
2016,Belgium,BEL,54358.0,160
2016,Syrian Arab Republic,SYR,45892.0,50
