node,node_type,degree,in_strength,out_strength,betweenness
Host: United Arab Emirates,host,1,741.0,0.0,0.0
Host: Dominican Republic,host,1,728.0,0.0,0.0
Host: Luxembourg,host,1,686.0,0.0,0.0
Host: Sierra Leone,host,1,654.0,0.0,0.0
Host: Lithuania,host,1,624.0,0.0,0.0
Host: Benin,host,1,617.0,0.0,0.0
Host: North Macedonia,host,1,616.0,0.0,0.0
Host: Kazakhstan,host,1,599.0,0.0,0.0
Origin: Syrian Arab Republic,origin,38,0.0,4059888.0,0.0
Origin: Afghanistan,origin,30,0.0,1216824.0,0.0
Origin: South Sudan,origin,7,0.0,712256.0,0.0
Origin: Sudan,origin,22,0.0,636387.0,0.0
Origin: Somalia,origin,32,0.0,600111.0,0.0
Origin: Myanmar,origin,10,0.0,335906.0,0.0
Origin: Vietnam,origin,7,0.0,329966.0,0.0
Origin: Burundi,origin,12,0.0,296463.0,0.0
Origin: Eritrea,origin,25,0.0,272693.0,0.0
Origin: Rwanda,origin,15,0.0,263025.0,0.0
Origin: Iraq,origin,32,0.0,231846.0,0.0
Origin: Nigeria,origin,15,0.0,226988.0,0.0
Origin: China,origin,15,0.0,185282.0,0.0
Origin: Uganda,origin,6,0.0,184495.0,0.0
Origin: Democratic Republic of the Congo,origin,26,0.0,177178.0,0.0
Origin: Mali,origin,7,0.0,147150.0,0.0
Origin: Central African Republic,origin,9,0.0,131953.0,0.0
Origin: Western Sahara,origin,4,0.0,117955.0,0.0
Origin: Colombia,origin,10,0.0,114713.0,0.0
Origin: Pakistan,origin,19,0.0,99773.0,0.0
Origin: State of Palestine,origin,11,0.0,89857.0,0.0
Origin: Philippines,origin,3,0.0,82226.0,0.0
Origin: Sri Lanka,origin,12,0.0,78518.0,0.0
Origin: Bosnia and Herzegovina,origin,5,0.0,69206.0,0.0
Origin: Iran,origin,19,0.0,67452.0,0.0
Origin: Ethiopia,origin,19,0.0,56299.0,0.0
Origin: Côte d'Ivoire,origin,10,0.0,48321.0,0.0
Origin: Mauritania,origin,5,0.0,40405.0,0.0
Origin: Croatia,origin,3,0.0,40028.0,0.0
Origin: El Salvador,origin,8,0.0,30416.0,0.0
Origin: Senegal,origin,8,0.0,30344.0,0.0
Origin: Chad,origin,6,0.0,29402.0,0.0
Origin: Turkey,origin,12,0.0,27361.0,0.0
Origin: Haiti,origin,5,0.0,27100.0,0.0
Origin: Yemen,origin,10,0.0,26991.0,0.0
Origin: Angola,origin,6,0.0,26738.0,0.0
Origin: Russia,origin,13,0.0,26348.0,0.0
Origin: Serbia and Kosovo (historical UN label),origin,9,0.0,23652.0,0.0
Origin: Ukraine,origin,11,0.0,23456.0,0.0
Origin: Venezuela,origin,7,0.0,20655.0,0.0
Origin: Ghana,origin,5,0.0,19071.0,0.0
Origin: Guinea,origin,7,0.0,18963.0,0.0
